date,mix
2013-08-19,-306.92914239
2013-08-20,-303.35266324
2013-08-21,-299.95845894
2013-08-22,-297.73095213
2013-08-23,-298.99432021
2013-08-24,-300.78458818
2013-08-25,-299.18951018
2013-08-26,-298.87181938
2013-08-27,-297.31659074
2013-08-28,-289.62861899
2013-08-29,-290.24738791
2013-08-30,-291.37313205
2013-08-31,-284.22718331
2013-09-01,-277.77158863
2013-09-02,-280.18247429
2013-09-03,-279.96330287
2013-09-04,-279.59469638
2013-09-05,-285.31307809
2013-09-06,-289.78616761
2013-09-07,-291.4140854
2013-09-08,-291.13809273
2013-09-09,-290.87501517
2013-09-10,-287.20296943
2013-09-11,-285.7425626
2013-09-12,-283.14829808
2013-09-13,-281.64103234
2013-09-14,-282.72102157
2013-09-15,-284.85886735
2013-09-16,-283.9423323
2013-09-17,-284.27404221
2013-09-18,-282.48082147
2013-09-19,-282.93318344
2013-09-20,-284.7382153
2013-09-21,-285.7414586
2013-09-22,-286.29639672
2013-09-23,-285.83407242
2013-09-24,-286.88712741
2013-09-25,-286.21669802
2013-09-26,-284.83488589
2013-09-27,-284.63674314
2013-09-28,-282.38820765
2013-09-29,-279.20321244
2013-09-30,-282.41108511
2013-10-01,-282.39816999
2013-10-02,-282.89261564
2013-10-03,-297.38008865
2013-10-04,-287.5509328
2013-10-05,-285.16033103
2013-10-06,-287.35314927
2013-10-07,-285.90455356
2013-10-08,-286.66870076
2013-10-09,-284.50797753
2013-10-10,-283.99399276
2013-10-11,-282.78264437
2013-10-12,-279.09362673
2013-10-13,-280.06698302
2013-10-14,-276.61891026
2013-10-15,-273.59331245
2013-10-16,-270.07550332
2013-10-17,-265.32752513
2013-10-18,-263.93980744
2013-10-19,-253.47529633
2013-10-20,-244.52321172
2013-10-21,-240.50433294
2013-10-22,-227.8440508
2013-10-23,-216.01174667
2013-10-24,-211.79472514
2013-10-25,-226.12056642
2013-10-26,-233.62405531
2013-10-27,-224.97084083
2013-10-28,-222.43930312
2013-10-29,-212.86626792
2013-10-30,-203.5511495
2013-10-31,-209.16507994
2013-11-01,-203.76510748
2013-11-02,-206.92352768
2013-11-03,-206.363788
2013-11-04,-197.91647061
2013-11-05,-182.09517471
2013-11-06,-148.45015309
2013-11-07,-140.46590477
2013-11-08,-113.75392525
2013-11-09,-74.84398788
2013-11-10,-71.07747954
2013-11-11,-74.52776031
2013-11-12,-69.70488497
2013-11-13,-50.36467595
2013-11-14,-2.6568906
2013-11-15,4.74106936
2013-11-16,47.56510135
2013-11-17,36.15047061
2013-11-18,102.13634094
2013-11-19,256.18342638
2013-11-20,142.31845443
2013-11-21,238.24807454
2013-11-22,289.14359953
2013-11-23,365.47513696
2013-11-24,361.05196688
2013-11-25,365.53101226
2013-11-26,445.33529121
2013-11-27,499.52185525
2013-11-28,568.75339047
2013-11-29,651.58448617
2013-11-30,699.84053054
2013-12-01,690.38248132
2013-12-02,548.15809452
2013-12-03,626.66542801
2013-12-04,674.12015561
2013-12-05,689.42783076
2013-12-06,589.33037815
2013-12-07,375.31933693
2013-12-08,324.93026507
2013-12-09,412.11068024
2013-12-10,490.87898386
2013-12-11,539.78810497
2013-12-12,465.38547005
2013-12-13,486.70487222
2013-12-14,472.40707636
2013-12-15,450.89232616
2013-12-16,401.1701921
2013-12-17,300.06643564
2013-12-18,223.77615812
2013-12-19,158.22245927
2013-12-20,286.69903588
2013-12-21,218.19410474
2013-12-22,216.2872918
2013-12-23,221.00153454
2013-12-24,254.4033027
2013-12-25,259.84674545
2013-12-26,292.5471435
2013-12-27,351.2511917
2013-12-28,324.48444805
2013-12-29,315.17366901
2013-12-30,332.25507128
2013-12-31,347.05715539
2014-01-01,350.02993844
2014-01-02,360.59597201
2014-01-03,401.26017642
2014-01-04,408.34545548
2014-01-05,454.02472213
2014-01-06,547.66658007
2014-01-07,529.65467393
2014-01-08,432.95827711
2014-01-09,433.93859267
2014-01-10,433.08183165
2014-01-11,477.55175674
2014-01-12,486.76096304
2014-01-13,447.36587422
2014-01-14,434.94684588
2014-01-15,423.74917857
2014-01-16,457.10492601
2014-01-17,436.14416798
2014-01-18,406.53631655
2014-01-19,426.44702266
2014-01-20,445.31958855
2014-01-21,465.23224402
2014-01-22,461.71348177
2014-01-23,443.8570743
2014-01-24,424.06591624
