date,bitcoin,gtrends
2013-08-19,-1.62620424,-0.38370663
2013-08-20,-1.60720191,-0.38370663
2013-08-21,-1.58962873,-0.34487549
2013-08-22,-1.5768723,-0.42253777
2013-08-23,-1.58174198,-0.57786233
2013-08-24,-1.59079322,-0.61669347
2013-08-25,-1.58370043,-0.50020005
2013-08-26,-1.58063042,-0.61669347
2013-08-27,-1.57374936,-0.50020005
2013-08-28,-1.5333628,-0.46136891
2013-08-29,-1.53526833,-0.57786233
2013-08-30,-1.54124956,-0.57786233
2013-08-31,-1.50282146,-0.61669347
2013-09-01,-1.46852201,-0.61669347
2013-09-02,-1.48133137,-0.61669347
2013-09-03,-1.48016688,-0.61669347
2013-09-04,-1.47820843,-0.61669347
2013-09-05,-1.50859097,-0.61669347
2013-09-06,-1.53235711,-0.61669347
2013-09-07,-1.54008507,-0.69435575
2013-09-08,-1.53907938,-0.65552461
2013-09-09,-1.538603,-0.57786233
2013-09-10,-1.51817153,-0.65552461
2013-09-11,-1.5094908,-0.73318689
2013-09-12,-1.49662851,-0.65552461
2013-09-13,-1.48815951,-0.69435575
2013-09-14,-1.49297625,-0.77201803
2013-09-15,-1.5052563,-0.69435575
2013-09-16,-1.50038663,-0.69435575
2013-09-17,-1.50260974,-0.65552461
2013-09-18,-1.49308211,-0.65552461
2013-09-19,-1.49456419,-0.73318689
2013-09-20,-1.50599734,-0.57786233
2013-09-21,-1.51086702,-0.61669347
2013-09-22,-1.51335479,-0.65552461
2013-09-23,-1.51181978,-0.57786233
2013-09-24,-1.51695411,-0.61669347
2013-09-25,-1.51293134,-0.65552461
2013-09-26,-1.50605027,-0.61669347
2013-09-27,-1.50361543,-0.73318689
2013-09-28,-1.49212935,-0.69435575
2013-09-29,-1.47566773,-0.65552461
2013-09-30,-1.49271159,-0.65552461
2013-10-01,-1.49218228,-0.69435575
2013-10-02,-1.5035625,0.04343592
2013-10-03,-1.59021098,0.85888987
2013-10-04,-1.52923416,0.1210982
2013-10-05,-1.51192564,-0.26721321
2013-10-06,-1.52219431,-0.38370663
2013-10-07,-1.51541911,-0.30604435
2013-10-08,-1.51901843,-0.34487549
2013-10-09,-1.50615613,-0.46136891
2013-10-10,-1.50250388,-0.53903119
2013-10-11,-1.49514643,-0.61669347
2013-10-12,-1.47508548,-0.65552461
2013-10-13,-1.47979637,-0.69435575
2013-10-14,-1.46285836,-0.57786233
2013-10-15,-1.44724364,-0.53903119
2013-10-16,-1.42993512,-0.42253777
2013-10-17,-1.40378707,-0.50020005
2013-10-18,-1.39595325,-0.53903119
2013-10-19,-1.34127525,-0.46136891
2013-10-20,-1.29279022,-0.53903119
2013-10-21,-1.27235875,-0.46136891
2013-10-22,-1.20693571,-0.30604435
2013-10-23,-1.14452975,-0.26721321
2013-10-24,-1.12166345,-0.30604435
2013-10-25,-1.1977786,-0.30604435
2013-10-26,-1.23948844,-0.15071978
2013-10-27,-1.19259134,-0.22838207
2013-10-28,-1.18052301,-0.11188864
2013-10-29,-1.14532372,1.20837013
2013-10-30,-1.11287686,2.64512233
2013-10-31,-1.12796227,1.40252583
2013-11-01,-1.09143969,0.74239645
2013-11-02,-1.10361388,0.35408504
2013-11-03,-1.09879714,0.19876048
2013-11-04,-1.05714024,0.47057846
2013-11-05,-0.97446161,0.58707188
2013-11-06,-0.79846516,0.82005873
2013-11-07,-0.76157207,1.28603241
2013-11-08,-0.61918697,1.24720127
2013-11-09,-0.41291384,1.28603241
2013-11-10,-0.38967702,1.01421443
2013-11-11,-0.4038626,0.66473417
2013-11-12,-0.37962008,0.78122759
2013-11-13,-0.28100914,1.13070785
2013-11-14,-0.02937392,1.28603241
2013-11-15,0.01085384,1.20837013
2013-11-16,0.23930517,1.13070785
2013-11-17,0.17589352,1.36369469
2013-11-18,0.49104625,4.35081613
2013-11-19,1.28093948,6.75978503
2013-11-20,0.70568252,4.25445737
2013-11-21,1.23023133,3.00179354
2013-11-22,1.49721662,3.29086981
2013-11-23,1.90849252,2.80907603
2013-11-24,1.89070762,2.32728225
2013-11-25,1.9133622,2.42364101
2013-11-26,2.33623005,2.51999976
2013-11-27,2.59326426,5.12168618
2013-11-28,2.92223206,8.39788388
2013-11-29,3.37490021,7.33793756
2013-11-30,3.6564416,5.21804493
2013-12-01,3.61647849,4.35081613
2013-12-02,2.85739126,4.6398924
2013-12-03,3.28137067,4.06173986
2013-12-04,3.54036334,3.48358732
2013-12-05,3.59768789,5.5071212
2013-12-06,3.07271564,4.92896866
2013-12-07,1.92992968,5.41076244
2013-12-08,1.68506967,3.48358732
2013-12-09,2.14827114,3.48358732
2013-12-10,2.57135072,3.0981523
2013-12-11,2.83235477,3.00179354
2013-12-12,2.4416162,2.61635852
2013-12-13,2.5548891,2.61635852
2013-12-14,2.48692536,1.94184723
2013-12-15,2.36804174,2.32728225
2013-12-16,2.09814524,2.80907603
2013-12-17,1.56211034,2.71271728
2013-12-18,1.12018723,5.79619747
2013-12-19,0.79704188,3.67630484
2013-12-20,1.49451712,2.42364101
2013-12-21,1.13511385,2.03820599
2013-12-22,1.12383949,2.13456474
2013-12-23,1.15231651,1.84548847
2013-12-24,1.33207108,1.65277096
2013-12-25,1.36213603,1.55641221
2013-12-26,1.53702092,1.46005345
2013-12-27,1.84778037,1.55641221
2013-12-28,1.7089946,1.26733594
2013-12-29,1.66066835,1.17097718
2013-12-30,1.75028098,1.26733594
2013-12-31,1.83121288,1.07461843
2014-01-01,1.84815088,0.97825967
2014-01-02,1.90314647,1.07461843
2014-01-03,2.11577135,1.36369469
2014-01-04,2.15684601,1.07461843
2014-01-05,2.3972598,1.26733594
2014-01-06,2.8879326,1.84548847
2014-01-07,2.79223288,1.84548847
2014-01-08,2.28075809,1.65277096
2014-01-09,2.28710984,1.55641221
2014-01-10,2.28255775,1.55641221
2014-01-11,2.52111895,1.36369469
2014-01-12,2.57119193,1.26733594
2014-01-13,2.36073723,1.36369469
2014-01-14,2.29589643,1.26733594
2014-01-15,2.23640169,1.26733594
2014-01-16,2.40562294,1.94184723
2014-01-17,2.29425556,1.94184723
2014-01-18,2.148377,0.97825967
2014-01-19,2.25302211,1.07461843
2014-01-20,2.34872183,1.46005345
2014-01-21,2.45109089,1.74912972
2014-01-22,2.42896562,2.03820599
2014-01-23,2.33866489,1.65277096
2014-01-24,2.23465496,1.55641221
2014-01-25,2.08215999,1.07461843
2014-01-26,2.34559889,1.07461843
2014-01-27,2.52074843,2.03820599
2014-01-28,1.98720131,2.42364101
2014-01-29,2.19056322,1.55641221
2014-01-30,2.17113745,1.17097718
2014-01-31,2.17314883,0.97825967
2014-02-01,2.20088482,0.88190091
2014-02-02,2.30081904,0.88190091
2014-02-03,2.22020473,0.78554216
2014-02-04,2.10571441,0.88190091
2014-02-05,2.27477686,0.88190091
2014-02-06,2.1365204,0.97825967
2014-02-07,1.97894403,2.03820599
2014-02-08,1.60916624,1.26733594
2014-02-09,1.42295405,1.17097718
2014-02-10,1.46164681,2.42364101
2014-02-11,1.38711959,2.13456474
2014-02-12,1.32651329,1.65277096
2014-02-13,1.28078068,1.46005345
2014-02-14,1.07487807,2.2309235
2014-02-15,1.3101046,1.17097718
2014-02-16,1.25240953,1.32639453
2014-02-17,1.04163724,1.17097718
2014-02-18,1.12849744,1.4041032
2014-02-19,1.07546032,1.4041032
2014-02-20,1.11468238,1.63722923
2014-02-21,0.79857689,1.48181188
2014-02-22,0.8279008,0.93785116
2014-02-23,0.99982154,0.78243381
2014-02-24,0.96711002,1.94806392
2014-02-25,0.71663929,6.5328757
2014-02-26,0.62162768,4.4347415
2014-02-27,0.89586455,2.33660729
2014-02-28,0.88543709,3.96848945
2014-03-01,0.82668339,2.56973332
2014-03-02,0.81445626,1.55952055
2014-03-03,0.77041745,1.55952055
2014-03-04,1.32608984,1.7149379
2014-03-05,1.34048715,2.10348127
2014-03-06,1.29025538,3.65765475
2014-03-07,1.30719338,4.51245017
2014-03-08,1.14125388,1.55952055
2014-03-09,1.08144155,1.09326851
2014-03-10,1.19249134,1.01555983
2014-03-11,1.13643713,0.86014249
2014-03-12,1.15035805,0.78243381
2014-03-13,1.17423005,0.62701646
