date,value
2017-08-06,315
2017-08-13,746
2017-08-20,622
2017-08-27,572
2017-09-03,586
2017-09-10,443
2017-09-17,429
2017-09-24,437
2017-10-01,360
2017-10-08,322
2017-10-15,322
2017-10-22,416
2017-10-29,614
2017-11-05,1322
2017-11-12,1248
2017-11-19,1549
2017-11-26,1388
2017-12-03,1364
2017-12-10,1774
2017-12-17,2898
2017-12-24,2178
2017-12-31,2529
2018-01-07,2660
2018-01-14,2010
2018-01-21,1636
2018-01-28,1276
2018-02-04,1240
2018-02-11,1539
2018-02-18,1178
2018-02-25,1268
2018-03-04,1000
2018-03-11,943
2018-03-18,968
2018-03-25,683
2018-04-01,638
2018-04-08,736
2018-04-15,1154
2018-04-22,1391
2018-04-29,1763
2018-05-06,1458
2018-05-13,1177
2018-05-20,1001
