date,value
2017-05-28,2207.58
2017-06-04,2552.81
2017-06-11,3018.54
2017-06-18,2576.17
2017-06-25,2594.45
2017-07-02,2529.78
2017-07-09,2525.67
2017-07-16,1938.94
2017-07-23,2762.63
2017-07-30,2746.33
2017-08-06,3255
2017-08-13,4111.2
2017-08-20,4111.22
2017-08-27,4394.51
2017-09-03,4631.69
2017-09-10,4191.17
2017-09-17,3672.57
2017-09-24,3662.12
2017-10-01,4394.64
2017-10-08,4596.96
2017-10-15,5697.39
2017-10-22,5984.96
2017-10-29,6140.53
2017-11-05,7382.45
2017-11-12,5857.32
2017-11-19,8033.94
2017-11-26,9326.59
2017-12-03,11180.89
2017-12-10,15036.96
2017-12-17,19086.64
2017-12-24,13975.44
2017-12-31,13860.14
2018-01-07,16178.49
2018-01-14,13619.03
2018-01-21,11522.86
2018-01-28,11694.47
2018-02-04,8186.65
2018-02-11,8070.8
2018-02-18,10396.63
2018-02-25,9586.46
2018-03-04,11479.73
2018-03-11,9532.74
2018-03-18,8196.02
2018-03-25,8449.83
2018-04-01,6816.74
2018-04-08,7022.71
2018-04-15,8357.04
2018-04-22,8792.83
2018-04-29,9392.03
2018-05-06,9619.14
2018-05-13,8688.03
2018-05-20,8520.81
