date, value
2017-05-28, 172.86
2017-06-04,244.96
2017-06-11,339.68
2017-06-18,351.53
2017-06-25,289.94
2017-07-02,275.58
2017-07-09,239.42
2017-07-16,152.14
2017-07-23,228.32
2017-07-30,196.78
2017-08-06,264.56
2017-08-13,296.62
2017-08-20,298.2
2017-08-27,347.88
2017-09-03,352.45
2017-09-10,299.21
2017-09-17,258.4
2017-09-24,282.6
2017-10-01,303.95
2017-10-08,309.49
2017-10-15,336.58
2017-10-22,294.03
2017-10-29,304.04
2017-11-05,296.23
2017-11-12,306.02
2017-11-19,354.6
2017-11-26,470.54
2017-12-03,462.81
2017-12-10,441.72
2017-12-17,717.71
2017-12-24,675.91
2017-12-31,741.13
2018-01-07,1117.75
2018-01-14,1359.48
2018-01-21,1049.09
2018-01-28,1231.58
2018-02-04,827.59
2018-02-11,811.24
2018-02-18,913.9
2018-02-25,840.28
2018-03-04,864.83
2018-03-11,720,36
2018-03-18,537.38
2018-03-25,523.01
2018-04-01,378.85
2018-04-08,400.72
2018-04-15,534.15
2018-04-22,621.33
2018-04-29,689.31
2018-05-06,790.39
2018-05-13,729.34
2018-05-20,715.15
