date,bitcoin
2013-08-19,-0.38371
2013-08-20,-0.38371
2013-08-21,-0.34488
2013-08-22,-0.42254
2013-08-23,-0.57786
2013-08-24,-0.61669
2013-08-25,-0.5002
2013-08-26,-0.61669
2013-08-27,-0.5002
2013-08-28,-0.46137
2013-08-29,-0.57786
2013-08-30,-0.57786
2013-08-31,-0.61669
2013-09-01,-0.61669
2013-09-02,-0.61669
2013-09-03,-0.61669
2013-09-04,-0.61669
2013-09-05,-0.61669
2013-09-06,-0.61669
2013-09-07,-0.69436
2013-09-08,-0.65552
2013-09-09,-0.57786
2013-09-10,-0.65552
2013-09-11,-0.73319
2013-09-12,-0.65552
2013-09-13,-0.69436
2013-09-14,-0.77202
2013-09-15,-0.69436
2013-09-16,-0.69436
2013-09-17,-0.65552
2013-09-18,-0.65552
2013-09-19,-0.73319
2013-09-20,-0.57786
2013-09-21,-0.61669
2013-09-22,-0.65552
2013-09-23,-0.57786
2013-09-24,-0.61669
2013-09-25,-0.65552
2013-09-26,-0.61669
2013-09-27,-0.73319
2013-09-28,-0.69436
2013-09-29,-0.65552
2013-09-30,-0.65552
2013-10-01,-0.69436
2013-10-02,0.04344
2013-10-03,0.85889
2013-10-04,0.1211
2013-10-05,-0.26721
2013-10-06,-0.38371
2013-10-07,-0.30604
2013-10-08,-0.34488
2013-10-09,-0.46137
2013-10-10,-0.53903
2013-10-11,-0.61669
2013-10-12,-0.65552
2013-10-13,-0.69436
2013-10-14,-0.57786
2013-10-15,-0.53903
2013-10-16,-0.42254
2013-10-17,-0.5002
2013-10-18,-0.53903
2013-10-19,-0.46137
2013-10-20,-0.53903
2013-10-21,-0.46137
2013-10-22,-0.30604
2013-10-23,-0.26721
2013-10-24,-0.30604
2013-10-25,-0.30604
2013-10-26,-0.15072
2013-10-27,-0.22838
2013-10-28,-0.11189
2013-10-29,1.20837
2013-10-30,2.64512
2013-10-31,1.40253
2013-11-01,0.7424
2013-11-02,0.35409
2013-11-03,0.19876
2013-11-04,0.47058
2013-11-05,0.58707
2013-11-06,0.82006
2013-11-07,1.28603
2013-11-08,1.2472
2013-11-09,1.28603
2013-11-10,1.01421
2013-11-11,0.66473
2013-11-12,0.78123
2013-11-13,1.13071
2013-11-14,1.28603
2013-11-15,1.20837
2013-11-16,1.13071
2013-11-17,1.36369
2013-11-18,4.35082
2013-11-19,6.75979
2013-11-20,4.25446
2013-11-21,3.00179
2013-11-22,3.29087
2013-11-23,2.80908
2013-11-24,2.32728
2013-11-25,2.42364
2013-11-26,2.52
2013-11-27,5.12169
2013-11-28,8.39788
2013-11-29,7.33794
2013-11-30,5.21804
2013-12-01,4.35082
2013-12-02,4.63989
2013-12-03,4.06174
2013-12-04,3.48359
2013-12-05,5.50712
2013-12-06,4.92897
2013-12-07,5.41076
2013-12-08,3.48359
2013-12-09,3.48359
2013-12-10,3.09815
2013-12-11,3.00179
2013-12-12,2.61636
2013-12-13,2.61636
2013-12-14,1.94185
2013-12-15,2.32728
2013-12-16,2.80908
2013-12-17,2.71272
2013-12-18,5.7962
2013-12-19,3.6763
2013-12-20,2.42364
2013-12-21,2.03821
2013-12-22,2.13456
2013-12-23,1.84549
2013-12-24,1.65277
2013-12-25,1.55641
2013-12-26,1.46005
2013-12-27,1.55641
2013-12-28,1.26734
2013-12-29,1.17098
2013-12-30,1.26734
2013-12-31,1.07462
2014-01-01,0.97826
2014-01-02,1.07462
2014-01-03,1.36369
2014-01-04,1.07462
2014-01-05,1.26734
2014-01-06,1.84549
2014-01-07,1.84549
2014-01-08,1.65277
2014-01-09,1.55641
2014-01-10,1.55641
