date,value
2017-05-28,24.22
2017-06-04,27.94
2017-06-11,33.22
2017-06-18,46.04
2017-06-25,43.92
2017-07-02,41.57
2017-07-09,49.58
2017-07-16,40.91
2017-07-23,44.06
2017-07-30,40.42
2017-08-06,45.10
2017-08-13,45.81
2017-08-20,46.23
2017-08-27,61.16
2017-09-03,76.84
2017-09-10,61.61
2017-09-17,48.49
2017-09-24,47.62
2017-10-01,54.54
2017-10-08,53.14
2017-10-15,65.47
2017-10-22,56.81
2017-10-29,57.11
2017-11-05,54.75
2017-11-12,59.01
2017-11-19,71.59
2017-11-26,85.93
2017-12-03,101.26
2017-12-10,148.66
2017-12-17,318.72
2017-12-24,275.98
2017-12-31,232.10
2018-01-07,288.45
2018-01-14,238.68
2018-01-21,190.42
2018-01-28,193.87
2018-02-04,148.03
2018-02-11,148.99
2018-02-18,215.74
2018-02-25,220.48
2018-03-04,213.80
2018-03-11,188.95
2018-03-18,154.07
2018-03-25,160.08
2018-04-01,115.22
2018-04-08,117.67
2018-04-15,132.05
2018-04-22,146.77
2018-04-29,153.63
2018-05-06,171.80
2018-05-13,144.59
2018-05-20,139.70
