date,value
2013-08-20,-1.6072
2013-08-21,-1.58963
2013-08-22,-1.57687
2013-08-23,-1.58174
2013-08-24,-1.59079
2013-08-25,-1.5837
2013-08-26,-1.58063
2013-08-27,-1.57375
2013-08-28,-1.53336
2013-08-29,-1.53527
2013-08-30,-1.54125
2013-08-31,-1.50282
2013-09-01,-1.46852
2013-09-02,-1.48133
2013-09-03,-1.48017
2013-09-04,-1.47821
2013-09-05,-1.50859
2013-09-06,-1.53236
2013-09-07,-1.54009
2013-09-08,-1.53908
2013-09-09,-1.5386
2013-09-10,-1.51817
2013-09-11,-1.50949
2013-09-12,-1.49663
2013-09-13,-1.48816
2013-09-14,-1.49298
2013-09-15,-1.50526
2013-09-16,-1.50039
2013-09-17,-1.50261
2013-09-18,-1.49308
2013-09-19,-1.49456
2013-09-20,-1.506
2013-09-21,-1.51087
2013-09-22,-1.51335
2013-09-23,-1.51182
2013-09-24,-1.51695
2013-09-25,-1.51293
2013-09-26,-1.50605
2013-09-27,-1.50362
2013-09-28,-1.49213
2013-09-29,-1.47567
2013-09-30,-1.49271
2013-10-01,-1.49218
2013-10-02,-1.50356
2013-10-03,-1.59021
2013-10-04,-1.52923
2013-10-05,-1.51193
2013-10-06,-1.52219
2013-10-07,-1.51542
2013-10-08,-1.51902
2013-10-09,-1.50616
2013-10-10,-1.5025
2013-10-11,-1.49515
2013-10-12,-1.47509
2013-10-13,-1.4798
2013-10-14,-1.46286
2013-10-15,-1.44724
2013-10-16,-1.42994
2013-10-17,-1.40379
2013-10-18,-1.39595
2013-10-19,-1.34128
2013-10-20,-1.29279
2013-10-21,-1.27236
2013-10-22,-1.20694
2013-10-23,-1.14453
2013-10-24,-1.12166
2013-10-25,-1.19778
2013-10-26,-1.23949
2013-10-27,-1.19259
2013-10-28,-1.18052
2013-10-29,-1.14532
2013-10-30,-1.11288
2013-10-31,-1.12796
2013-11-01,-1.09144
2013-11-02,-1.10361
2013-11-03,-1.0988
2013-11-04,-1.05714
2013-11-05,-0.97446
2013-11-06,-0.79847
2013-11-07,-0.76157
2013-11-08,-0.61919
2013-11-09,-0.41291
2013-11-10,-0.38968
2013-11-11,-0.40386
2013-11-12,-0.37962
2013-11-13,-0.28101
2013-11-14,-0.02937
2013-11-15,0.01085
2013-11-16,0.23931
2013-11-17,0.17589
2013-11-18,0.49105
2013-11-19,1.28094
2013-11-20,0.70568
2013-11-21,1.23023
2013-11-22,1.49722
2013-11-23,1.90849
2013-11-24,1.89071
2013-11-25,1.91336
2013-11-26,2.33623
2013-11-27,2.59326
2013-11-28,2.92223
2013-11-29,3.3749
2013-11-30,3.65644
2013-12-01,3.61648
2013-12-02,2.85739
2013-12-03,3.28137
2013-12-04,3.54036
2013-12-05,3.59769
2013-12-06,3.07272
2013-12-07,1.92993
2013-12-08,1.68507
2013-12-09,2.14827
2013-12-10,2.57135
2013-12-11,2.83235
2013-12-12,2.44162
2013-12-13,2.55489
2013-12-14,2.48693
2013-12-15,2.36804
2013-12-16,2.09815
2013-12-17,1.56211
2013-12-18,1.12019
2013-12-19,0.79704
2013-12-20,1.49452
2013-12-21,1.13511
2013-12-22,1.12384
2013-12-23,1.15232
2013-12-24,1.33207
2013-12-25,1.36214
2013-12-26,1.53702
2013-12-27,1.84778
2013-12-28,1.70899
2013-12-29,1.66067
2013-12-30,1.75028
2013-12-31,1.83121
2014-01-01,1.84815
2014-01-02,1.90315
2014-01-03,2.11577
2014-01-04,2.15685
2014-01-05,2.39726
2014-01-06,2.88793
2014-01-07,2.79223
2014-01-08,2.28076
2014-01-09,2.28711
2014-01-10,2.28256
2014-01-11,2.52112
2014-01-12,2.57119
2014-01-13,2.36074
2014-01-14,2.2959
2014-01-15,2.2364
2014-01-16,2.40562
2014-01-17,2.29426
2014-01-18,2.14838
2014-01-19,2.25302
2014-01-20,2.34872
2014-01-21,2.45109
2014-01-22,2.42897
2014-01-23,2.33866
2014-01-24,2.23465
2014-01-25,2.08216
2014-01-26,2.3456
2014-01-27,2.52075
2014-01-28,1.9872
2014-01-29,2.19056
2014-01-30,2.17114
2014-01-31,2.17315
2014-02-01,2.20088
2014-02-02,2.30082
2014-02-03,2.2202
2014-02-04,2.10571
2014-02-05,2.27478
2014-02-06,2.13652
2014-02-07,1.97894
2014-02-08,1.60917
2014-02-09,1.42295
2014-02-10,1.46165
2014-02-11,1.38712
2014-02-12,1.32651
2014-02-13,1.28078
2014-02-14,1.07488
2014-02-15,1.3101
2014-02-16,1.25241
2014-02-17,1.04164
2014-02-18,1.1285
2014-02-19,1.07546
2014-02-20,1.11468
2014-02-21,0.79858
2014-02-22,0.8279
2014-02-23,0.99982
2014-02-24,0.96711
2014-02-25,0.71664
2014-02-26,0.62163
2014-02-27,0.89586
2014-02-28,0.88544
2014-03-01,0.82668
2014-03-02,0.81446
2014-03-03,0.77042
2014-03-04,1.32609
2014-03-05,1.34049
2014-03-06,1.29026
2014-03-07,1.30719
2014-03-08,1.14125
2014-03-09,1.08144
2014-03-10,1.19249
2014-03-11,1.13644
2014-03-12,1.15036
2014-03-13,1.17423
2014-03-14,1.2034
2014-03-15,1.14459
2014-03-16,1.15179
2014-03-17,1.15803
2014-03-18,1.11765
2014-03-19,1.06969
2014-03-20,1.04958
2014-03-21,0.91
2014-03-22,0.88189
2014-03-23,0.79635
2014-03-24,0.8072
2014-03-25,0.86347
2014-03-26,0.80535
2014-03-27,0.89639
2014-03-28,0.5354
2014-03-29,0.47411
2014-03-30,0.45151
2014-03-31,0.26704
2014-04-01,0.24269
2014-04-02,0.35422
2014-04-03,0.1977
2014-04-04,0.16335
2014-04-05,0.19161
2014-04-06,0.24232
2014-04-07,0.25735
2014-04-08,0.20056
2014-04-09,0.20665
2014-04-10,0.13614
2014-04-11,-0.1328
2014-04-12,0.01472
2014-04-13,0.05442
2014-04-14,0.0098
2014-04-15,0.28424
2014-04-16,0.47236
2014-04-17,0.56647
2014-04-18,0.45892
2014-04-19,0.3674
2014-04-20,0.44849
2014-04-21,0.46056
2014-04-22,0.43864
2014-04-23,0.40906
2014-04-24,0.39752
2014-04-25,0.36856
2014-04-26,0.26191
2014-04-27,0.24444
2014-04-28,0.1517
2014-04-29,0.14578
2014-04-30,0.16705
2014-05-01,0.18246
2014-05-02,0.22962
2014-05-03,0.1923
2014-05-04,0.129
2014-05-05,0.12111
2014-05-06,0.10015
2014-05-07,0.08363
2014-05-08,0.13985
2014-05-09,0.14027
2014-05-10,0.18256
2014-05-11,0.21003
2014-05-12,0.14615
2014-05-13,0.14355
2014-05-14,0.1381
2014-05-15,0.16679
2014-05-16,0.17558
2014-05-17,0.18304
2014-05-18,0.18352
2014-05-19,0.17547
2014-05-20,0.25794
2014-05-21,0.35327
2014-05-22,0.41647
2014-05-23,0.5606
2014-05-24,0.59516
2014-05-25,0.65429
2014-05-26,0.81848
2014-05-27,0.89883
2014-05-28,0.85521
2014-05-29,0.84738
2014-05-30,0.90926
2014-05-31,1.0364
2014-06-01,1.10113
2014-06-02,1.19577
2014-06-03,1.23092
2014-06-04,1.31783
2014-06-05,1.20493
2014-06-06,1.28359
2014-06-07,1.26458
2014-06-08,1.27522
2014-06-09,1.25045
2014-06-10,1.25654
2014-06-11,1.26866
2014-06-12,1.19339
2014-06-13,1.02518
2014-06-14,0.96002
2014-06-15,0.84214
2014-06-16,0.87136
2014-06-17,0.96605
2014-06-18,1.00713
2014-06-19,1.01485
2014-06-20,0.99522
2014-06-21,0.94938
2014-06-22,0.95303
2014-06-23,0.99167
2014-06-24,0.93059
2014-06-25,0.91328
2014-06-26,0.82049
2014-06-27,0.8865
2014-06-28,0.97537
2014-06-29,1.02999
2014-06-30,0.97632
2014-07-01,1.161
2014-07-02,1.24241
2014-07-03,1.25664
2014-07-04,1.20085
2014-07-05,1.1691
2014-07-06,1.15348
2014-07-07,1.17518
2014-07-08,1.12061
2014-07-09,1.11564
2014-07-10,1.12088
2014-07-11,1.09028
2014-07-12,1.14512
2014-07-13,1.16899
2014-07-14,1.13374
2014-07-15,1.10743
2014-07-16,1.11077
2014-07-17,1.0906
2014-07-18,1.10997
2014-07-19,1.12649
2014-07-20,1.14168
2014-07-21,1.1195
2014-07-22,1.10346
2014-07-23,1.10574
2014-07-24,1.06493
2014-07-25,1.01147
2014-07-26,0.99728
2014-07-27,0.9705
2014-07-28,0.95515
2014-07-29,0.91031
2014-07-30,0.9055
2014-07-31,0.84293
2014-08-01,0.88253
2014-08-02,0.96568
2014-08-03,0.93101
2014-08-04,0.9191
2014-08-05,0.92884
2014-08-06,0.9118
2014-08-07,0.9074
2014-08-08,0.92461
2014-08-09,0.94848
2014-08-10,0.93424
2014-08-11,0.94075
2014-08-12,0.88496
2014-08-13,0.75925
2014-08-14,0.72214
2014-08-15,0.54885
2014-08-16,0.46395
2014-08-17,0.52085
2014-08-18,0.44897
2014-08-19,0.28498
2014-08-20,0.36941
2014-08-21,0.48856
2014-08-22,0.57193
2014-08-23,0.53149
2014-08-24,0.47104
2014-08-25,0.50931
2014-08-26,0.48364
2014-08-27,0.52519
2014-08-28,0.51455
2014-08-29,0.51539
2014-08-30,0.51428
2014-08-31,0.48104
2014-09-01,0.37412
2014-09-02,0.35321
2014-09-03,0.34935
2014-09-04,0.34522
2014-09-05,0.40159
2014-09-06,0.37888
2014-09-07,0.37222
2014-09-08,0.37677
2014-09-09,0.32204
2014-09-10,0.31325
2014-09-11,0.36544
2014-09-12,0.3376
2014-09-13,0.33183
2014-09-14,0.35152
2014-09-15,0.3467
2014-09-16,0.32897
2014-09-17,0.23078
2014-09-18,0.22835
2014-09-19,0.07924
2014-09-20,-0.06965
2014-09-21,-0.01963
2014-09-22,-0.04811
2014-09-23,-0.0624
2014-09-24,0.0712
2014-09-25,0.0713
2014-09-26,-0.0072
2014-09-27,-0.06415
2014-09-28,-0.05764
2014-09-29,-0.14625
2014-09-30,-0.18563
2014-10-01,-0.14318
2014-10-02,-0.20436
2014-10-03,-0.18944
2014-10-04,-0.26275
2014-10-05,-0.40656
2014-10-06,-0.51163
2014-10-07,-0.41323
2014-10-08,-0.42742
2014-10-09,-0.35014
2014-10-10,-0.24052
2014-10-11,-0.27566
2014-10-12,-0.24041
2014-10-13,-0.22236
2014-10-14,-0.15064
2014-10-15,-0.04917
2014-10-16,-0.10168
2014-10-17,-0.15842
2014-10-18,-0.1644
2014-10-19,-0.12761
2014-10-20,-0.12327
2014-10-21,-0.16123
2014-10-22,-0.177
2014-10-23,-0.15789
2014-10-24,-0.26127
2014-10-25,-0.29144
2014-10-26,-0.33516
2014-10-27,-0.32515
2014-10-28,-0.31457
2014-10-29,-0.30642
2014-10-30,-0.37872
2014-10-31,-0.36856
2014-11-01,-0.39973
2014-11-02,-0.45203
2014-11-03,-0.46209
2014-11-04,-0.4515
2014-11-05,-0.4434
2014-11-06,-0.37433
2014-11-07,-0.34347
2014-11-08,-0.36395
2014-11-09,-0.35739
2014-11-10,-0.28694
2014-11-11,-0.19579
2014-11-12,-0.23824
2014-11-13,0.0107
2014-11-14,0.03732
2014-11-15,-0.07913
2014-11-16,-0.16943
2014-11-17,-0.13238
2014-11-18,-0.12095
2014-11-19,-0.18621
2014-11-20,-0.1843
2014-11-21,-0.26492
2014-11-22,-0.3215
2014-11-23,-0.29906
2014-11-24,-0.25772
2014-11-25,-0.17705
2014-11-26,-0.17901
2014-11-27,-0.22305
2014-11-28,-0.2221
2014-11-29,-0.19436
2014-11-30,-0.18774
2014-12-01,-0.18081
2014-12-02,-0.17208
2014-12-03,-0.1607
2014-12-04,-0.18107
2014-12-05,-0.20929
2014-12-06,-0.20743
2014-12-07,-0.19388
2014-12-08,-0.19272
2014-12-09,-0.24375
2014-12-10,-0.31441
2014-12-11,-0.33733
2014-12-12,-0.32695
2014-12-13,-0.31547
2014-12-14,-0.34045
2014-12-15,-0.32097
2014-12-16,-0.37851
2014-12-17,-0.42906
2014-12-18,-0.48146
2014-12-19,-0.52571
2014-12-20,-0.51216
2014-12-21,-0.4488
2014-12-22,-0.47204
2014-12-23,-0.43234
2014-12-24,-0.40762
2014-12-25,-0.45817
2014-12-26,-0.49369
2014-12-27,-0.45335
2014-12-28,-0.50401
2014-12-29,-0.50327
2014-12-30,-0.51518
2014-12-31,-0.53958
2015-01-01,-0.50205
2015-01-02,-0.51089
2015-01-03,-0.51195
2015-01-04,-0.62797
2015-01-05,-0.74141
2015-01-06,-0.74294
2015-01-07,-0.68228
2015-01-08,-0.62612
2015-01-09,-0.65941
2015-01-10,-0.70726
2015-01-11,-0.7125
2015-01-12,-0.75596
2015-01-13,-0.75607
2015-01-14,-0.93752
2015-01-15,-1.16247
2015-01-16,-1.07429
2015-01-17,-1.07418
2015-01-18,-1.1197
2015-01-19,-1.07286
2015-01-20,-1.03761
2015-01-21,-1.05984
2015-01-22,-1.01495
2015-01-23,-0.94953
2015-01-24,-0.94943
2015-01-25,-0.8758
2015-01-26,-0.85325
2015-01-27,-0.72928
2015-01-28,-0.79338
2015-01-29,-0.90539
2015-01-30,-0.95133
2015-01-31,-0.96737
2015-02-01,-0.99563
2015-02-02,-0.99622
2015-02-03,-0.95885
2015-02-04,-0.96684
2015-02-05,-0.97991
2015-02-06,-1.02099
2015-02-07,-1.00394
2015-02-08,-0.97684
2015-02-09,-0.99606
2015-02-10,-1.01183
2015-02-11,-1.01612
2015-02-12,-1.01352
2015-02-13,-1.00781
2015-02-14,-0.92688
2015-02-15,-0.84716
2015-02-16,-0.911
2015-02-17,-0.9363
2015-02-18,-0.90142
2015-02-19,-0.92079
2015-02-20,-0.91057
2015-02-21,-0.89321
2015-02-22,-0.88575
2015-02-23,-0.92074
2015-02-24,-0.9137
2015-02-25,-0.91756
2015-02-26,-0.92238
2015-02-27,-0.92894
2015-02-28,-0.84224
2015-03-01,-0.81779
2015-03-02,-0.83769
2015-03-03,-0.7611
2015-03-04,-0.69816
2015-03-05,-0.71886
2015-03-06,-0.73098
2015-03-07,-0.73325
2015-03-08,-0.71859
2015-03-09,-0.72378
2015-03-10,-0.6628
2015-03-11,-0.63163
2015-03-12,-0.61749
2015-03-13,-0.61829
2015-03-14,-0.65592
2015-03-15,-0.68244
2015-03-16,-0.68604
2015-03-17,-0.64004
2015-03-18,-0.6583
2015-03-19,-0.77645
2015-03-20,-0.81276
2015-03-21,-0.80148
2015-03-22,-0.80328
2015-03-23,-0.77438
2015-03-24,-0.77173
2015-03-25,-0.85531
2015-03-26,-0.87643
2015-03-27,-0.85828
2015-03-28,-0.86939
