date,value
2017-05-28,5
2017-06-04,5
2017-06-11,5
2017-06-18,5
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,4
2017-08-13,4
2017-08-20,7
2017-08-27,7
2017-09-03,5
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,7
2017-10-15,8
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,7
2017-11-19,8
2017-11-26,13
2017-12-03,14
2017-12-10,53
2017-12-17,57
2017-12-24,71
2017-12-31,100
2018-01-07,71
2018-01-14,44
2018-01-21,24
2018-01-28,22
2018-02-04,21
2018-02-11,16
2018-02-18,13
2018-02-25,10
2018-03-04,13
2018-03-11,10
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,10
2018-04-22,9
2018-04-29,7
2018-05-06,7
2018-05-13,6
2018-05-20,7
