date,value
2017-05-28,0.26580
2017-06-04,0.25000
2017-06-11,0.25700
2017-06-18,0.27000
2017-06-25,0.23160
2017-07-02,0.23000
2017-07-09,0.17240
2017-07-16,0.19790
2017-07-23,0.17060
2017-07-30,0.18400
2017-08-06,0.17190
2017-08-13,0.15250
2017-08-20,0.20950
2017-08-27,0.22350
2017-09-03,0.21240
2017-09-10,0.18200
2017-09-17,0.17930
2017-09-24,0.19900
2017-10-01,0.24050
2017-10-08,0.25560
2017-10-15,0.20990
2017-10-22,0.19790
2017-10-29,0.20180
2017-11-05,0.20920
2017-11-12,0.22700
2017-11-19,0.25330
2017-11-26,0.24480
2017-12-03,0.23650
2017-12-10,0.74000
2017-12-17,0.98560
2017-12-24,1.83000
2017-12-31,2.65000
2018-01-07,1.99000
2018-01-14,1.56000
2018-01-21,1.21879
2018-01-28,0.95916
2018-02-04,1.02769
2018-02-11,1.17490
2018-02-18,0.90000
2018-02-25,0.89912
2018-03-04,0.77400
2018-03-11,0.62861
2018-03-18,0.62730
2018-03-25,0.49700
2018-04-01,0.48510
2018-04-08,0.64050
2018-04-15,0.86137
2018-04-22,0.86646
2018-04-29,0.90448
2018-05-06,0.68175
2018-05-13,0.67652
2018-05-20,0.60134
